"model","predictor","n_rows","beta","se","chi2","p","daic","sig"
"eleutherai_pythia_1.4b_deduped","last_layer_surprisal",45879,-0.0192031020531297,0.00123320702831129,235.394874478792,3.97071089345099e-53,233.394874478792,"***"
"eleutherai_pythia_1.4b_deduped","cv_layer_surprisal",45879,-0.0184951424416876,0.00123415378917421,218.316625609368,2.10657412529986e-49,216.316625609368,"***"
"eleutherai_pythia_1.4b_deduped","shallow_surprisal",45879,-0.00471655808888787,0.00302796767095825,2.41835844746674,0.119920537113888,0.418358447466744,""
"eleutherai_pythia_1.4b_deduped","lang_mae_z",45879,0.00303801242105594,0.0059477666784288,0.260836498084245,0.609546051062304,-1.73916350191575,""
"eleutherai_pythia_1.4b_deduped","su_sgm_z",44374,0.00767857567048445,0.00840060790213577,0.834846805984853,0.360874758290425,-1.16515319401515,""
"eleutherai_pythia_12b_deduped","last_layer_surprisal",45879,-0.0192426839489803,0.00119119306966998,252.91561916827,6.00928553151016e-57,250.91561916827,"***"
"eleutherai_pythia_12b_deduped","cv_layer_surprisal",45879,-0.0179733523448711,0.00116010771381142,233.616638543666,9.69706165933662e-53,231.616638543666,"***"
"eleutherai_pythia_12b_deduped","shallow_surprisal",45879,-0.00958082891889829,0.00300092759914817,10.129194299152,0.00145939186057848,8.129194299152,"**"
"eleutherai_pythia_12b_deduped","lang_mae_z",45879,0.00139962035613041,0.00600134718428468,0.0543853372801095,0.815600949450284,-1.94561466271989,""
"eleutherai_pythia_12b_deduped","su_sgm_z",44374,0.00767857567048445,0.00840060790213577,0.834846805984853,0.360874758290425,-1.16515319401515,""
"eleutherai_pythia_2.8b_deduped","last_layer_surprisal",45879,-0.019423091557951,0.00121385518650992,248.130353377652,6.63812625654371e-56,246.130353377652,"***"
"eleutherai_pythia_2.8b_deduped","cv_layer_surprisal",45879,-0.0182786959951204,0.00115776332136262,242.211037317509,1.2960140636018e-54,240.211037317509,"***"
"eleutherai_pythia_2.8b_deduped","shallow_surprisal",45879,-0.00909351832948236,0.00300989459851299,9.07388894550968,0.00259285063095846,7.07388894550968,"**"
"eleutherai_pythia_2.8b_deduped","lang_mae_z",45879,0.00114673125501518,0.00600691747926138,0.0364403367275372,0.848609015573049,-1.96355966327246,""
"eleutherai_pythia_2.8b_deduped","su_sgm_z",44374,0.00767857567048445,0.00840060790213577,0.834846805984853,0.360874758290425,-1.16515319401515,""
"eleutherai_pythia_410m_deduped","last_layer_surprisal",45879,-0.0190850669888297,0.00129025089475886,213.204435382315,2.74646080946569e-48,211.204435382315,"***"
"eleutherai_pythia_410m_deduped","cv_layer_surprisal",45879,-0.017682183910527,0.00129533805079372,182.506741434278,1.37441342462945e-41,180.506741434278,"***"
"eleutherai_pythia_410m_deduped","shallow_surprisal",45879,-0.000901043951363078,0.00301452654797589,0.0891662978829117,0.765239722620221,-1.91083370211709,""
"eleutherai_pythia_410m_deduped","lang_mae_z",45879,0.000299198231281179,0.00599786630256485,0.00248833207297139,0.960215477627826,-1.99751166792703,""
"eleutherai_pythia_410m_deduped","su_sgm_z",44374,0.00767857567048445,0.00840060790213577,0.834846805984853,0.360874758290425,-1.16515319401515,""
"eleutherai_pythia_6.9b_deduped","last_layer_surprisal",45879,-0.0186576657395001,0.00120562412398289,232.656553107328,1.57038735404502e-52,230.656553107328,"***"
"eleutherai_pythia_6.9b_deduped","cv_layer_surprisal",45879,-0.0170431233625572,0.00113613335358984,219.429982606991,1.20425826672555e-49,217.429982606991,"***"
"eleutherai_pythia_6.9b_deduped","shallow_surprisal",45879,-0.0070571810706964,0.00299999986706881,5.51151185277558,0.0188917100477767,3.51151185277558,"*"
"eleutherai_pythia_6.9b_deduped","lang_mae_z",45879,0.00090483179898047,0.00599735881007847,0.0227606592234224,0.88008113584697,-1.97723934077658,""
"eleutherai_pythia_6.9b_deduped","su_sgm_z",44374,0.00767857567048445,0.00840060790213577,0.834846805984853,0.360874758290425,-1.16515319401515,""
"gpt2_large","last_layer_surprisal",45879,-0.0189133867601092,0.00128683132838952,210.515874090474,1.06002801745972e-47,208.515874090474,"***"
"gpt2_large","cv_layer_surprisal",45879,-0.019082071138696,0.00140794095987589,180.132051930996,4.53511266599653e-41,178.132051930996,"***"
"gpt2_large","shallow_surprisal",45879,-0.00371022359894511,0.00302801280153514,1.4953695073491,0.221385215767854,-0.504630492650904,""
"gpt2_large","lang_mae_z",45879,0.00464601793289286,0.00607889794766438,0.583927936982946,0.444776800544813,-1.41607206301705,""
"gpt2_large","su_sgm_z",44374,0.00766741652742826,0.00840136993321538,0.832261986186495,0.361619266618494,-1.1677380138135,""
"gpt2","last_layer_surprisal",45879,-0.0198854014625369,0.00140253055957494,196.459960672204,1.23703351403127e-44,194.459960672204,"***"
"gpt2","cv_layer_surprisal",45879,-0.0199550077888248,0.00157649213885188,157.293158920467,4.41663164112668e-36,155.293158920467,"***"
"gpt2","shallow_surprisal",45879,0.000540507858823339,0.00327600792311372,0.0271457155613462,0.869133228351699,-1.97285428443865,""
"gpt2","lang_mae_z",45879,0.00230096653556175,0.00607177788877726,0.14358938280202,0.704738436836345,-1.85641061719798,""
"gpt2","su_sgm_z",44374,0.00766741652742826,0.00840136993321538,0.832261986186495,0.361619266618494,-1.1677380138135,""
"gpt2_xl","last_layer_surprisal",45879,-0.0187912826474033,0.00125523925229707,218.46875942155,1.95160263718313e-49,216.46875942155,"***"
"gpt2_xl","cv_layer_surprisal",45879,-0.0199067889866115,0.00136339409364235,208.393594791545,3.07853542316169e-47,206.393594791545,"***"
"gpt2_xl","shallow_surprisal",45879,-0.00509193558362666,0.0030203110023712,2.82863769943651,0.0925968764170621,0.828637699436513,""
"gpt2_xl","lang_mae_z",45879,0.00369218076139828,0.00609765120953845,0.366559412126662,0.544885682405593,-1.63344058787334,""
"gpt2_xl","su_sgm_z",44374,0.00766741652742826,0.00840136993321538,0.832261986186495,0.361619266618494,-1.1677380138135,""
"qwen_qwen3_0.6b_base","last_layer_surprisal",45879,-0.0171388023289012,0.00118591426402868,203.917779274212,2.9169239861175e-46,201.917779274212,"***"
"qwen_qwen3_0.6b_base","shallow_surprisal",45879,-0.00168802988589665,0.00300692512075639,0.314760331020807,0.574773641262649,-1.68523966897919,""
"qwen_qwen3_0.6b_base","lang_mae_z",45879,0.00195886941901849,0.00606925436806199,0.104155847264337,0.746898328659174,-1.89584415273566,""
"qwen_qwen3_0.6b_base","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_0.6b","last_layer_surprisal",45879,-0.0117651087591073,0.00103190972152801,128.618921983143,8.21732062352415e-30,126.618921983143,"***"
"qwen_qwen3_0.6b","shallow_surprisal",45879,0.00154306303868809,0.00283455484281258,0.29619530942,0.586277510353039,-1.70380469058,""
"qwen_qwen3_0.6b","lang_mae_z",45879,0.00198678406576829,0.00607333344605717,0.107001424927148,0.743584141992798,-1.89299857507285,""
"qwen_qwen3_0.6b","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_1.7b_base","last_layer_surprisal",45879,-0.0173488833428821,0.00113535064237335,227.342982838614,2.26364370830399e-51,225.342982838614,"***"
"qwen_qwen3_1.7b_base","shallow_surprisal",45879,-0.00693600385626461,0.00296147326698844,5.46362850438163,0.0194162867476952,3.46362850438163,"*"
"qwen_qwen3_1.7b_base","lang_mae_z",45879,0.00221159576362393,0.00607037025480942,0.132713940722169,0.715634562762323,-1.86728605927783,""
"qwen_qwen3_1.7b_base","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_1.7b","last_layer_surprisal",45879,-0.0127612106479653,0.000941909782999394,180.195310773066,4.39315146638429e-41,178.195310773066,"***"
"qwen_qwen3_1.7b","shallow_surprisal",45879,-0.00225999679917886,0.0026347129312026,0.734282915000222,0.391498441921332,-1.26571708499978,""
"qwen_qwen3_1.7b","lang_mae_z",45879,0.0022001442142064,0.00607394929246967,0.131188377679791,0.717203056445959,-1.86881162232021,""
"qwen_qwen3_1.7b","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_14b_base","last_layer_surprisal",45879,-0.0164569855280366,0.00107764538333524,227.241014804196,2.38257580024489e-51,225.241014804196,"***"
"qwen_qwen3_14b_base","shallow_surprisal",45879,-0.00499416191711509,0.00280636485777157,3.15701863073627,0.0756011337954502,1.15701863073627,""
"qwen_qwen3_14b_base","lang_mae_z",45879,0.00289098010447209,0.00607352052577507,0.226530634594383,0.634108329032323,-1.77346936540562,""
"qwen_qwen3_14b_base","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_14b","last_layer_surprisal",45879,-0.0128161147758824,0.000903820596065989,196.596216845239,1.15516695410166e-44,194.596216845239,"***"
"qwen_qwen3_14b","shallow_surprisal",45879,-0.00733996965955257,0.00254414298960748,8.28157416486647,0.00400493934318067,6.28157416486647,"**"
"qwen_qwen3_14b","lang_mae_z",45879,0.0026482476344613,0.00607183671542158,0.190196924115298,0.662752769824466,-1.8098030758847,""
"qwen_qwen3_14b","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_4b_base","last_layer_surprisal",45879,-0.0165631335881349,0.00111721572882176,214.348172218175,1.54619034358753e-48,212.348172218175,"***"
"qwen_qwen3_4b_base","shallow_surprisal",45879,-0.00707120187879603,0.00287746727965004,6.0144527391094,0.014189178145142,4.0144527391094,"*"
"qwen_qwen3_4b_base","lang_mae_z",45879,0.00280271736059133,0.00606476662207756,0.21352672528883,0.644017124658114,-1.78647327471117,""
"qwen_qwen3_4b_base","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_4b","last_layer_surprisal",45879,-0.0123104533015883,0.000885630467237594,189.091977615171,5.01805190651117e-43,187.091977615171,"***"
"qwen_qwen3_4b","shallow_surprisal",45879,-0.00347727838957406,0.002470209208426,1.97740191229968,0.159664377665215,-0.0225980877003167,""
"qwen_qwen3_4b","lang_mae_z",45879,0.00457937881403226,0.00604415204695093,0.57372855473659,0.44878108047469,-1.42627144526341,""
"qwen_qwen3_4b","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_8b_base","last_layer_surprisal",45879,-0.0163659411345675,0.00109388540095212,218.595431485126,1.83130282055538e-49,216.595431485126,"***"
"qwen_qwen3_8b_base","shallow_surprisal",45879,-0.00513508361589211,0.00277998319593381,3.40237620749394,0.0651025720475079,1.40237620749394,""
"qwen_qwen3_8b_base","lang_mae_z",45879,0.00273394831785829,0.00606775133444993,0.202975548410905,0.652329713642269,-1.7970244515891,""
"qwen_qwen3_8b_base","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
"qwen_qwen3_8b","last_layer_surprisal",45879,-0.0121370437975039,0.000878370187953996,186.867554088851,1.53498997116422e-42,184.867554088851,"***"
"qwen_qwen3_8b","shallow_surprisal",45879,-0.00457859712711018,0.00244703528695165,3.48980036351713,0.0617480308563215,1.48980036351713,""
"qwen_qwen3_8b","lang_mae_z",45879,0.00075465689155305,0.006054486034374,0.015534319638391,0.900811132345432,-1.98446568036161,""
"qwen_qwen3_8b","su_sgm_z",44374,0.00801653111811566,0.00840344956740504,0.909318755366257,0.340295237587599,-1.09068124463374,""
